packet,sequence,packet_time_utc,block,channel,return,azimuth_deg,elevation_deg,distance_m,reflectivity,firing_time_offset_us,x,y,z
0,39613,2025-06-10 16:36:59.923181+00:00,6,15,strongest,116.54400960000001,-13.0,0.516,1,48.336,0.44977813315731807,-0.22468263112495682,-0.11607474404143435
0,39613,2025-06-10 16:36:59.923181+00:00,6,16,strongest,116.554896,-15.0,0.508,0,51.36,0.43892565188037275,-0.21936558987795596,-0.13148007491208052
0,39613,2025-06-10 16:36:59.923181+00:00,7,11,strongest,116.680464,-5.0,0.504,0,36.24,0.4486227021077841,-0.2254420862396482,-0.04392649434481972
0,39613,2025-06-10 16:36:59.923181+00:00,7,12,strongest,116.69135039999999,-7.0,0.504,1,39.264,0.4469369429739184,-0.2247013320120515,-0.06142214907619433
0,39613,2025-06-10 16:36:59.923181+00:00,7,13,strongest,116.7022368,-9.0,0.524,1,42.288,0.4623541133565888,-0.23256250959983152,-0.08197165968108099
0,39613,2025-06-10 16:36:59.923181+00:00,7,14,strongest,116.7131232,-11.0,0.536,1,45.312,0.4699951344433359,-0.23651782161266527,-0.10227362152182802
0,39613,2025-06-10 16:36:59.923181+00:00,7,15,strongest,116.7240096,-13.0,0.52,1,48.336,0.4525512166558306,-0.2278472105665877,-0.1169745482588098
0,39613,2025-06-10 16:36:59.923181+00:00,7,16,strongest,116.73489599999999,-15.0,0.512,0,51.36,0.4416849936921079,-0.22248156793774307,-0.13251535109249063
0,39613,2025-06-10 16:36:59.923181+00:00,8,11,strongest,116.86046400000001,-5.0,0.492,1,36.24,0.4372476650129484,-0.22144916211920518,-0.04288062543184782
0,39613,2025-06-10 16:36:59.923181+00:00,8,12,strongest,116.8713504,-7.0,0.508,1,39.264,0.44977031709743553,-0.2278987933511643,-0.06190962644981492
0,39613,2025-06-10 16:36:59.923181+00:00,8,13,strongest,116.8822368,-9.0,0.524,1,42.288,0.4616212162625258,-0.23401388784735744,-0.08197165968108099
0,39613,2025-06-10 16:36:59.923181+00:00,8,14,strongest,116.8931232,-11.0,0.528,1,45.312,0.4622460457182262,-0.2344410481840525,-0.10074714955881565
0,39613,2025-06-10 16:36:59.923181+00:00,8,15,strongest,116.90400960000001,-13.0,0.504,1,48.336,0.43793062203193367,-0.22221342110477543,-0.11337533138930796
0,39613,2025-06-10 16:36:59.923181+00:00,8,16,strongest,116.914896,-15.0,0.512,0,51.36,0.4409838687561496,-0.22386806208499907,-0.13251535109249063
1,39614,2025-06-10 16:36:59.923581+00:00,1,11,strongest,117.040464,-5.0,0.492,1,36.24,0.4365498053675114,-0.2228217211049261,-0.04288062543184782
1,39614,2025-06-10 16:36:59.923581+00:00,1,12,strongest,117.05135039999999,-7.0,0.516,1,39.264,0.4561238207173765,-0.23292185303627794,-0.0628845811970561
1,39614,2025-06-10 16:36:59.923581+00:00,1,13,strongest,117.0622368,-9.0,0.512,1,42.288,0.45032917315754234,-0.23007067502635506,-0.08009444610059821
1,39614,2025-06-10 16:36:59.923581+00:00,1,14,strongest,117.0731232,-11.0,0.532,1,45.312,0.4650035145911484,-0.2376791388518036,-0.10151038554032184
1,39614,2025-06-10 16:36:59.923581+00:00,1,15,strongest,117.0840096,-13.0,0.516,1,48.336,0.44764060464953326,-0.22891164859988197,-0.11607474404143435
1,39614,2025-06-10 16:36:59.923581+00:00,1,16,strongest,117.09489599999999,-15.0,0.528,0,51.36,0.45403709122142166,-0.23229148258063817,-0.13665645581413097
1,39614,2025-06-10 16:36:59.923581+00:00,2,11,strongest,117.220464,-5.0,0.508,1,36.24,0.4500215440509811,-0.23148288031006106,-0.044275117315810346
1,39614,2025-06-10 16:36:59.923581+00:00,2,12,strongest,117.2313504,-7.0,0.516,1,39.264,0.4553898254597069,-0.23435365650112777,-0.0628845811970561
1,39614,2025-06-10 16:36:59.923581+00:00,2,13,strongest,117.2422368,-9.0,0.524,1,42.288,0.4601417613076426,-0.2369097011728932,-0.08197165968108099
1,39614,2025-06-10 16:36:59.923581+00:00,2,14,strongest,117.2531232,-11.0,0.524,1,45.312,0.4572732589553084,-0.23554274276690546,-0.09998391357730949
1,39614,2025-06-10 16:36:59.923581+00:00,2,15,strongest,117.26400960000001,-13.0,0.512,1,48.336,0.4434547593554313,-0.22853141937497543,-0.11517493982405888
1,39614,2025-06-10 16:36:59.923581+00:00,2,16,strongest,117.274896,-15.0,0.536,0,51.36,0.46017334551353756,-0.23725789614195245,-0.13872700817495112
1,39614,2025-06-10 16:36:59.923581+00:00,3,11,strongest,117.400464,-5.0,0.504,1,36.24,0.44575436649807937,-0.2310616970474997,-0.04392649434481972
1,39614,2025-06-10 16:36:59.923581+00:00,3,12,strongest,117.41135039999999,-7.0,0.524,1,39.264,0.46170019360595654,-0.2394386996565118,-0.06385953594429727
1,39614,2025-06-10 16:36:59.923581+00:00,3,13,strongest,117.4222368,-9.0,0.52,0,42.288,0.4558883843228851,-0.23653461066527712,-0.08134592182092006
1,39614,2025-06-10 16:36:59.923581+00:00,3,14,strongest,117.4331232,-11.0,0.52,1,45.312,0.4530460546200898,-0.2351691508905883,-0.0992206775958033
